game_id,event_num,period,seconds_remaining_period,seconds_remaining_game,home_score,away_score,score_margin_home,abs_score_margin,event_type,home_team_won
SAMPLE_GAME_001,1,1,720,2880,0,0,0,0,start_period,1
SAMPLE_GAME_001,2,1,360,2520,18,15,3,3,made_shot,1
SAMPLE_GAME_001,3,2,360,1800,46,40,6,6,made_shot,1
SAMPLE_GAME_001,4,3,360,1080,72,63,9,9,made_shot,1
SAMPLE_GAME_001,5,4,360,360,98,88,10,10,made_shot,1
SAMPLE_GAME_001,6,4,0,0,114,103,11,11,end_period,1
SAMPLE_GAME_002,1,1,720,2880,0,0,0,0,start_period,0
SAMPLE_GAME_002,2,1,300,2460,16,20,-4,4,made_shot,0
SAMPLE_GAME_002,3,2,300,1740,38,44,-6,6,made_shot,0
SAMPLE_GAME_002,4,3,300,1020,64,67,-3,3,made_shot,0
SAMPLE_GAME_002,5,4,300,300,92,98,-6,6,made_shot,0
SAMPLE_GAME_002,6,4,0,0,108,116,-8,8,end_period,0
SAMPLE_GAME_003,1,1,720,2880,0,0,0,0,start_period,1
SAMPLE_GAME_003,2,1,330,2490,14,12,2,2,made_shot,1
SAMPLE_GAME_003,3,2,330,1770,40,38,2,2,made_shot,1
SAMPLE_GAME_003,4,3,330,1050,66,67,-1,1,made_shot,1
SAMPLE_GAME_003,5,4,330,330,94,90,4,4,made_shot,1
SAMPLE_GAME_003,6,4,0,0,112,105,7,7,end_period,1
